trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.6703200460356393}",30,0,-201.07157162907842,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.4, 'e': 0.44932896411722156}",20,14,-0.15333302247436542,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.4, 'e': 0.301194211912202}",20,0,-29.10585323452758,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.20189651799465538}",20,0,19.22333269738416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.1353352832366127}",25,11,-79.43797171922441,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.4, 'e': 0.09071795328941247}",30,18,-0.8003629160094603,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.4, 'e': 0.06081006262521795}",30,18,24.957773875241344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.04076220397836621}",20,7,5.8026160015531545,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.02732372244729256}",25,8,31.738504481293475,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.01831563888873418}",20,6,24.7671778515935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.012277339903068436}",35,1,9.012496441538731,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.4, 'e': 0.008229747049020023}",20,10,19.346435827712376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.0055165644207607716}",20,8,24.450369478474204,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.003697863716482929}",30,9,38.99656731241626,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.4, 'e': 0.0024787521766663585}",25,13,-7.017161663237454,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.001661557273173934}",25,0,29.20859342671992,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.0011137751478448024}",20,6,26.57362236117794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.0007465858083766792}",25,18,-8.180121607319162,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.0005004514334406104}",20,16,5.409083167307794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.00033546262790251185}",30,8,35.73888929783422,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,16,27.136138528781956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,18.110539861974594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,23,26.613334690611044,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,20,9.971632048975366,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,4,30.64333787813232,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,18.241809069184974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,26.36777782074917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,9.085409467308954,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,8.12882946913307,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,6,15.280677769590163,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
